"10.44,12.89,14.98,16.69,20.15,14.97,12.57,"
"3.56,5.84,6.54,6.14,6.56,4.44,3.76,"
"4.06,3.24,3.09,7.98,7.23,4.71,3.82,"
"2.1,3.05,5.21,5.09,4.24,3.69,1.96,"
"2.93,2.64,4.8,3.7,4.13,2.81,2.21,"
"6.92,6.89,6.64,13.72,12.69,10.58,6.62,"
"5.41,4.46,4.54,12.19,12.1,8.61,6.37,"
"6.19,6.33,6.24,13.03,11.86,11.45,7.83,"
"2.85,3.7,6.65,6.81,6.51,7.48,4.51,"
"2.93,4.36,7.79,11.02,8.86,6.09,4.15,"
"2.09,2.68,4.71,7.71,6.31,5.82,2.63,"
"7.09,6.18,8.66,11.16,9.51,8.14,7.89,"
"6.62,3.18,5.41,10.18,12.84,12.35,8.06,"
"3.63,4.49,5.5,7.28,5.27,4.89,2.68,"
"5.53,4.81,8.14,9.96,8.55,7.54,5.74,"
"5.48,6.59,8.91,10.57,9.52,7.83,4.96,"
"2.11,1.86,6.92,9.11,6.96,5.64,3.59,"
"7.95,7.47,8.67,13.83,14.01,8.97,8.4,"
"5.42,7.08,7.27,20.07,18.24,15.36,10.92,"
"4.71,4.5,3.35,12.35,11.56,6.45,"
