 At t =  0.4000D+00   y =  0.985164D+00  0.338624D-04  0.148020D-01
 At t =  0.4000D+01   y =  0.905510D+00  0.224034D-04  0.944679D-01
 At t =  0.4000D+02   y =  0.715802D+00  0.918504D-05  0.284189D+00
 At t =  0.4000D+03   y =  0.450521D+00  0.322285D-05  0.549475D+00
 At t =  0.4000D+04   y =  0.183223D+00  0.894378D-06  0.816776D+00
 At t =  0.4000D+05   y =  0.389971D-01  0.162232D-06  0.961003D+00
 At t =  0.4000D+06   y =  0.493902D-02  0.198526D-07  0.995061D+00
 At t =  0.4000D+07   y =  0.516983D-03  0.206899D-08  0.999483D+00
 At t =  0.4000D+08   y =  0.520259D-04  0.208114D-09  0.999948D+00
 At t =  0.4000D+09   y =  0.522076D-05  0.208832D-10  0.999995D+00
 At t =  0.4000D+10   y =  0.545163D-06  0.218065D-11  0.999999D+00
 At t =  0.4000D+11   y =  0.531115D-07  0.212446D-12  0.100000D+01

  No. steps = 539   No. f-s = 738  No. J-s =  11   No. LU-s = 102
  No. nonlinear iterations = 733
  No. nonlinear convergence failures =   0
  No. error test failures =  17


 No errors occurred.
