 At t =  0.4000D+00   y =  0.985164D+00  0.338624D-04  0.148020D-01
 At t =  0.4000D+01   y =  0.905510D+00  0.224034D-04  0.944679D-01
 At t =  0.4000D+02   y =  0.715801D+00  0.918506D-05  0.284189D+00
 At t =  0.4000D+03   y =  0.450542D+00  0.322311D-05  0.549455D+00
 At t =  0.4000D+04   y =  0.183206D+00  0.894285D-06  0.816793D+00
 At t =  0.4000D+05   y =  0.389815D-01  0.162174D-06  0.961018D+00
 At t =  0.4000D+06   y =  0.493610D-02  0.198411D-07  0.995064D+00
 At t =  0.4000D+07   y =  0.516592D-03  0.206742D-08  0.999483D+00
 At t =  0.4000D+08   y =  0.520168D-04  0.208078D-09  0.999948D+00
 At t =  0.4000D+09   y =  0.520131D-05  0.208054D-10  0.999995D+00
 At t =  0.4000D+10   y =  0.521405D-06  0.208562D-11  0.999999D+00
 At t =  0.4000D+11   y =  0.553927D-07  0.221571D-12  0.100000D+01

  No. steps = 531   No. f-s = 772  No. J-s =  11   No. LU-s = 109
  No. nonlinear iterations = 767
  No. nonlinear convergence failures =   0
  No. error test failures =  26


 No errors occurred.
